"name","type","dia_chi_cha"
"Xã Tân Dân","1","Phú Xuyên"
"Xã Thụy Phú","1","Phú Xuyên"
"Xã Tri Thủy","1","Phú Xuyên"
"Xã Tri Trung","1","Phú Xuyên"
"Xã Văn Hoàng","1","Phú Xuyên"
"Xã Văn Nhân","1","Phú Xuyên"
"Xã Vân Từ","1","Phú Xuyên"
"Thị trấn Phúc Thọ","1","Phúc Thọ"
"Xã Cẩm Đình","1","Phúc Thọ"
"Xã Hát Môn","1","Phúc Thọ"
"Xã Hiệp Thuận","1","Phúc Thọ"
"Xã Liên Hiệp","1","Phúc Thọ"
"Xã Long Xuyên","1","Phúc Thọ"
"Xã Ngọc Tảo","1","Phúc Thọ"
"Xã Phúc Hòa","1","Phúc Thọ"
"Xã Phụng Thượng","1","Phúc Thọ"
"Xã Phương Độ","1","Phúc Thọ"
"Xã Sen Chiểu","1","Phúc Thọ"
"Xã Tam Hiệp","1","Phúc Thọ"
"Xã Tam Thuấn","1","Phúc Thọ"
"Xã Thanh Đa","1","Phúc Thọ"
"Xã Thọ Lộc","1","Phúc Thọ"
"Xã Thượng Cốc","1","Phúc Thọ"
"Xã Tích Giang","1","Phúc Thọ"
"Xã Trạch Mỹ Lộc","1","Phúc Thọ"
"Xã Vân Nam","1","Phúc Thọ"
"Xã Vân Phúc","1","Phúc Thọ"
"Xã Võng Xuyên","1","Phúc Thọ"
"Xã Xuân Phú","1","Phúc Thọ"
"Thị trấn Quốc Oai","1","Quốc Oai"
"Xã Cấn Hữu","1","Quốc Oai"
"Xã Cộng Hòa","1","Quốc Oai"
"Xã Đại Thành","1","Quốc Oai"
"Xã Đồng Quang","1","Quốc Oai"
"Xã Đông Xuân","1","Quốc Oai"
"Xã Đông Yên","1","Quốc Oai"
"Xã Hòa Thạch","1","Quốc Oai"
"Xã Liệp Tuyết","1","Quốc Oai"
"Xã Nghĩa Hương","1","Quốc Oai"
"Xã Ngọc Liệp","1","Quốc Oai"
"Xã Ngọc Mỹ","1","Quốc Oai"
"Xã Phú Cát","1","Quốc Oai"
"Xã Phú Mãn","1","Quốc Oai"
"Xã Phượng Cách","1","Quốc Oai"
"Xã Sài Sơn","1","Quốc Oai"
"Xã Tân Hòa","1","Quốc Oai"
"Xã Tân Phú","1","Quốc Oai"
"Xã Thạch Thán","1","Quốc Oai"
"Xã Tuyết Nghĩa","1","Quốc Oai"
"Xã Yên Sơn","1","Quốc Oai"
"Thị trấn Sóc Sơn","1","Sóc Sơn"
"Xã Bắc Phú","1","Sóc Sơn"
"Xã Bắc Sơn","1","Sóc Sơn"
"Xã Đông Xuân","1","Sóc Sơn"
"Xã Đức Hoà","1","Sóc Sơn"
"Xã Hiền Ninh","1","Sóc Sơn"
"Xã Hồng Kỳ","1","Sóc Sơn"
"Xã Kim Lũ","1","Sóc Sơn"
"Xã Mai Đình","1","Sóc Sơn"
"Xã Minh Phú","1","Sóc Sơn"
"Xã Minh Trí","1","Sóc Sơn"
"Xã Nam Sơn","1","Sóc Sơn"
"Xã Phú Cường","1","Sóc Sơn"
"Xã Phù Linh","1","Sóc Sơn"
"Xã Phù Lỗ","1","Sóc Sơn"
"Xã Phú Minh","1","Sóc Sơn"
"Xã Quang Tiến","1","Sóc Sơn"
"Xã Tân Dân","1","Sóc Sơn"
"Xã Tân Hưng","1","Sóc Sơn"
"Xã Tân Minh","1","Sóc Sơn"
"Xã Thanh Xuân","1","Sóc Sơn"
"Xã Tiên Dược","1","Sóc Sơn"
"Xã Trung Giã","1","Sóc Sơn"
"Xã Việt Long","1","Sóc Sơn"
"Xã Xuân Giang","1","Sóc Sơn"
"Xã Xuân Thu","1","Sóc Sơn"
"Thị trấn Liên Quan","1","Thạch Thất"
"Xã Bình Phú","1","Thạch Thất"
"Xã Bình Yên","1","Thạch Thất"
"Xã Cẩm Yên","1","Thạch Thất"
"Xã Cần Kiệm","1","Thạch Thất"
"Xã Canh Nậu","1","Thạch Thất"
"Xã Chàng Sơn","1","Thạch Thất"
"Xã Đại Đồng","1","Thạch Thất"
"Xã Dị Nậu","1","Thạch Thất"
"Xã Đồng Trúc","1","Thạch Thất"
"Xã Hạ Bằng","1","Thạch Thất"
"Xã Hương Ngải","1","Thạch Thất"
"Xã Hữu Bằng","1","Thạch Thất"
"Xã Kim Quan","1","Thạch Thất"
"Xã Lại Thượng","1","Thạch Thất"
"Xã Phú Kim","1","Thạch Thất"
"Xã Phùng Xá","1","Thạch Thất"
"Xã Tân Xã","1","Thạch Thất"
"Xã Thạch Hòa","1","Thạch Thất"
"Xã Thạch Xá","1","Thạch Thất"
"Xã Tiến Xuân","1","Thạch Thất"
"Xã Yên Bình","1","Thạch Thất"
"Xã Yên Trung","1","Thạch Thất"
"Thị trấn Kim Bài","1","Thanh Oai"
"Xã Bích Hòa","1","Thanh Oai"
"Xã Bình Minh","1","Thanh Oai"
"Xã Cao Dương","1","Thanh Oai"
"Xã Cao Viên","1","Thanh Oai"
"Xã Cự Khê","1","Thanh Oai"
"Xã Dân Hòa","1","Thanh Oai"
"Xã Đỗ Động","1","Thanh Oai"
"Xã Hồng Dương","1","Thanh Oai"
"Xã Kim An","1","Thanh Oai"
"Xã Kim Thư","1","Thanh Oai"
"Xã Liên Châu","1","Thanh Oai"
"Xã Mỹ Hưng","1","Thanh Oai"
"Xã Phương Trung","1","Thanh Oai"
"Xã Tam Hưng","1","Thanh Oai"
"Xã Tân Ước","1","Thanh Oai"
"Xã Thanh Cao","1","Thanh Oai"
"Xã Thanh Mai","1","Thanh Oai"
"Xã Thanh Thùy","1","Thanh Oai"
"Xã Thanh Văn","1","Thanh Oai"
"Xã Xuân Dương","1","Thanh Oai"
"Thị trấn Văn Điển","1","Thanh Trì"
"Xã Đại Áng","1","Thanh Trì"
"Xã Đông Mỹ","1","Thanh Trì"
"Xã Duyên Hà","1","Thanh Trì"
"Xã Hữu Hoà","1","Thanh Trì"
"Xã Liên Ninh","1","Thanh Trì"
"Xã Ngọc Hồi","1","Thanh Trì"
"Xã Ngũ Hiệp","1","Thanh Trì"
"Xã Tả Thanh Oai","1","Thanh Trì"
"Xã Tam Hiệp","1","Thanh Trì"
"Xã Tân Triều","1","Thanh Trì"
"Xã Thanh Liệt","1","Thanh Trì"
"Xã Tứ Hiệp","1","Thanh Trì"
"Xã Vạn Phúc","1","Thanh Trì"
"Xã Vĩnh Quỳnh","1","Thanh Trì"
"Xã Yên Mỹ","1","Thanh Trì"
"Thị trấn Thường Tín","1","Thường Tín"
"Xã Chương Dương","1","Thường Tín"
"Xã Dũng Tiến","1","Thường Tín"
"Xã Duyên Thái","1","Thường Tín"
"Xã Hà Hồi","1","Thường Tín"
"Xã Hiền Giang","1","Thường Tín"
"Xã Hòa Bình","1","Thường Tín"
"Xã Hồng Vân","1","Thường Tín"
"Xã Khánh Hà","1","Thường Tín"
"Xã Lê Lợi","1","Thường Tín"
"Xã Liên Phương","1","Thường Tín"
"Xã Minh Cường","1","Thường Tín"
"Xã Nghiêm Xuyên","1","Thường Tín"
"Xã Nguyễn Trãi","1","Thường Tín"
"Xã Nhị Khê","1","Thường Tín"
"Xã Ninh Sở","1","Thường Tín"
"Xã Quất Động","1","Thường Tín"
"Xã Tân Minh","1","Thường Tín"
"Xã Thắng Lợi","1","Thường Tín"
"STT-Xã Thống Nhất","1","Thường Tín"
"Xã Thư Phú","1","Thường Tín"
"Xã Tiền Phong","1","Thường Tín"
"Xã Tô Hiệu","1","Thường Tín"
"Xã Tự Nhiên","1","Thường Tín"
"Xã Văn Bình","1","Thường Tín"
"Xã Vạn Điểm","1","Thường Tín"
"Xã Văn Phú","1","Thường Tín"
"Xã Vân Tảo","1","Thường Tín"
"Xã Văn Tự","1","Thường Tín"
"Thị trấn Cầu Diễn","1","Từ Liêm"
"Cổ Nhuế 1","1","Từ Liêm"
"Xã Đại Mỗ","1","Từ Liêm"
"Xuân Tảo","1","Từ Liêm"
"Mễ Trì","1","Từ Liêm"
"Minh Khai","1","Từ Liêm"
"Mỹ Đình 1","1","Từ Liêm"
"Phú Diễn","1","Từ Liêm"
"Xã Tây Mỗ","1","Từ Liêm"
"Tây Tựu","1","Từ Liêm"
"Xã Thượng Cát","1","Từ Liêm"
"Thuỵ Phương","1","Từ Liêm"
"Trung Văn","1","Từ Liêm"
"Xã Xuân Đỉnh","1","Từ Liêm"
"Bỏ - Phương Canh","1","Từ Liêm"
"Thị trấn Vân Đình","1","Ứng Hòa"
"Xã Cao Thành","1","Ứng Hòa"
"Xã Đại Cường","1","Ứng Hòa"
"Xã Đại Hùng","1","Ứng Hòa"
"Xã Đội Bình","1","Ứng Hòa"
"Xã Đông Lỗ","1","Ứng Hòa"
"Xã Đồng Tân","1","Ứng Hòa"
"Xã Đồng Tiến","1","Ứng Hòa"
"Xã Hòa Lâm","1","Ứng Hòa"
"Xã Hòa Nam","1","Ứng Hòa"
"Xã Hòa Phú","1","Ứng Hòa"
"Xã Hoa Sơn","1","Ứng Hòa"
"Xã Hòa Xá","1","Ứng Hòa"
"Xã Hồng Quang","1","Ứng Hòa"
"Xã Kim Đường","1","Ứng Hòa"
"Xã Liên Bạt","1","Ứng Hòa"
"Xã Lưu Hoàng","1","Ứng Hòa"
"Xã Minh Đức","1","Ứng Hòa"
"Xã Phù Lưu","1","Ứng Hòa"
"Xã Phương Tú","1","Ứng Hòa"
"Xã Quảng Phú Cầu","1","Ứng Hòa"
"Xã Sơn Công","1","Ứng Hòa"
"Xã Tảo Dương Văn","1","Ứng Hòa"
"Xã Trầm Lộng","1","Ứng Hòa"
"Xã Trung Tú","1","Ứng Hòa"
"Xã Trường Thịnh","1","Ứng Hòa"
"Xã Vạn Thái","1","Ứng Hòa"
"Xã Viên An","1","Ứng Hòa"
"Xã Viên Nội","1","Ứng Hòa"
"Phường Lê Lợi","1","Sơn Tây"
"Phường Ngô Quyền","1","Sơn Tây"
"Phường Phú Thịnh","1","Sơn Tây"
"Phường Quang Trung","1","Sơn Tây"
"Phường Sơn Lộc","1","Sơn Tây"
"Phường Trung Hưng","1","Sơn Tây"
"Phường Trung Sơn Trầm","1","Sơn Tây"
"Phường Viên Sơn","1","Sơn Tây"
"Phường Xuân Khanh","1","Sơn Tây"
"Xã Cổ Đông","1","Sơn Tây"
"Xã Đường Lâm","1","Sơn Tây"
"Xã Kim Sơn","1","Sơn Tây"
"Xã Sơn Đông","1","Sơn Tây"
"Xã Thanh Mỹ","1","Sơn Tây"
"Xã Xuân Sơn","1","Sơn Tây"
"Bỏ-Long Trường","1","Quận 9"
"Xã Hòa Tiến","1","Huyện Hòa Vang"
"Xã Hòa Châu","1","Huyện Hòa Vang"
"Xã Hòa Phong","1","Huyện Hòa Vang"
"Xã Hòa Sơn","1","Huyện Hòa Vang"
"Xã Hòa Phước","1","Huyện Hòa Vang"
"Xã Hòa Khương","1","Huyện Hòa Vang"
"Xã Hòa Ninh","1","Huyện Hòa Vang"
"Xã Hòa Nhơn","1","Huyện Hòa Vang"
"Xã Hòa Bắc","1","Huyện Hòa Vang"
"Xã Hòa Liên","1","Huyện Hòa Vang"
"Xã Hòa Phú","1","Huyện Hòa Vang"
"Phường Khuê Trung","1","Quận Cẩm Lệ"
"Phường Hòa An","1","Quận Cẩm Lệ"
"Phường Hòa Thọ Đông","1","Quận Cẩm Lệ"
"Phường Hòa Xuân","1","Quận Cẩm Lệ"
"Phường Hòa Phát","1","Quận Cẩm Lệ"
"Phường Hòa Thọ Tây","1","Quận Cẩm Lệ"
"Phường Hòa Cường Bắc","1","Quận Hải Châu"
"Phường Hải Châu I","1","Quận Hải Châu"
"Phường Thanh Bình","1","Quận Hải Châu"
"Phường Hòa Cường Nam","1","Quận Hải Châu"
"Phường Thạch Thang","1","Quận Hải Châu"
"Phường Hải Châu II","1","Quận Hải Châu"
"Phường Hòa Thuận Tây","1","Quận Hải Châu"
"Phường Phước Ninh","1","Quận Hải Châu"
"Phường Bình Hiên","1","Quận Hải Châu"
"Phường Bình Thuận","1","Quận Hải Châu"
"Phường Hòa Thuận Đông","1","Quận Hải Châu"
"Phường Nam Dương","1","Quận Hải Châu"
"Phường Hòa Khánh Bắc","1","Quận Liên Chiểu"
"Phường Hòa Minh","1","Quận Liên Chiểu"
"Phường Hòa Khánh Nam","1","Quận Liên Chiểu"
"Phường Hòa Hiệp Nam","1","Quận Liên Chiểu"
"Phường Hòa Hiệp Bắc","1","Quận Liên Chiểu"
"Phường Mỹ An","1","Quận Ngũ Hành Sơn"
"Phường Hòa Hải","1","Quận Ngũ Hành Sơn"
"Phường Khuê Mỹ","1","Quận Ngũ Hành Sơn"
"Phường Hòa Quý","1","Quận Ngũ Hành Sơn"
"Phường An Hải Bắc","1","Quận Sơn Trà"
"Phường Nại Hiên Đông","1","Quận Sơn Trà"
"Phường Thọ Quang","1","Quận Sơn Trà"
"Phường An Hải Đông","1","Quận Sơn Trà"
"Phường Phước Mỹ","1","Quận Sơn Trà"
"Phường Mân Thái","1","Quận Sơn Trà"
"Phường An Hải Tây","1","Quận Sơn Trà"
"Phường Hòa Khê","1","Quận Thanh Khê"
"Phường Vĩnh Trung","1","Quận Thanh Khê"
"Phường Xuân Hà","1","Quận Thanh Khê"
"Phường Chính Gián","1","Quận Thanh Khê"
"Phường An Khê","1","Quận Thanh Khê"
"Phường Thạc Gián","1","Quận Thanh Khê"
"Phường Thanh Khê Tây","1","Quận Thanh Khê"
"Phường Tam Thuận","1","Quận Thanh Khê"
"Phường Thanh Khê Đông","1","Quận Thanh Khê"
"Phường Tân Chính","1","Quận Thanh Khê"
"Cam Giá","1","Thành phố Thái Nguyên"
"Đồng Quang","1","Thành phố Thái Nguyên"
"Gia Sàng","1","Thành phố Thái Nguyên"
"Hoàng Văn Thụ","1","Thành phố Thái Nguyên"
"Hương Sơn","1","Thành phố Thái Nguyên"
"Phan Đình Phùng","1","Thành phố Thái Nguyên"
"Phú Xá","1","Thành phố Thái Nguyên"
"Quán Triều","1","Thành phố Thái Nguyên"
"Quang Trung","1","Thành phố Thái Nguyên"
"Quang Vinh","1","Thành phố Thái Nguyên"
"Tân Lập","1","Thành phố Thái Nguyên"
"Tân Long","1","Thành phố Thái Nguyên"
"Tân Thành","1","Thành phố Thái Nguyên"
"Tân Thịnh","1","Thành phố Thái Nguyên"
"Thịnh Đán","1","Thành phố Thái Nguyên"
"Tích Lương","1","Thành phố Thái Nguyên"
"Trung Thành","1","Thành phố Thái Nguyên"
"Trưng Vương","1","Thành phố Thái Nguyên"
"Túc Duyên","1","Thành phố Thái Nguyên"
"Cao Ngạn","1","Thành phố Thái Nguyên"
"Đồng Bẩm","1","Thành phố Thái Nguyên"
"Phúc Hà","1","Thành phố Thái Nguyên"
"Phúc Trìu","1","Thành phố Thái Nguyên"
"Phúc Xuân","1","Thành phố Thái Nguyên"
"Quyết Thắng","1","Thành phố Thái Nguyên"
"Tân Cương","1","Thành phố Thái Nguyên"
"Thịnh Đức","1","Thành phố Thái Nguyên"
"Đống Đa","1","Thành phố Vĩnh Yên"
"Đồng Tâm","1","Thành phố Vĩnh Yên"
"Hội Hợp","1","Thành phố Vĩnh Yên"
"Khai Quang","1","Thành phố Vĩnh Yên"
"Liên Bảo","1","Thành phố Vĩnh Yên"
"Ngô Quyền","1","Thành phố Vĩnh Yên"
"Tích Sơn ","1","Thành phố Vĩnh Yên"
"Định Trung","1","Thành phố Vĩnh Yên"
"Thanh Trù","1","Thành phố Vĩnh Yên"
"Quang Hanh","1","Thành phố Cẩm Phả"
"Cẩm Thạch ","1","Thành phố Cẩm Phả"
"Cẩm Thủy ","1","Thành phố Cẩm Phả"
"Cẩm Trung ","1","Thành phố Cẩm Phả"
"Cẩm Thành ","1","Thành phố Cẩm Phả"
"Cẩm Tây ","1","Thành phố Cẩm Phả"
"Cẩm Bình ","1","Thành phố Cẩm Phả"
"Cẩm Đông","1","Thành phố Cẩm Phả"
"Cẩm Sơn ","1","Thành phố Cẩm Phả"
"Cẩm Phú ","1","Thành phố Cẩm Phả"
"Cẩm Thịnh ","1","Thành phố Cẩm Phả"
"Cửa Ông ","1","Thành phố Cẩm Phả"
"Mông Dương ","1","Thành phố Cẩm Phả"
"Bỏ-Cẩm Hải ","1","Thành phố Cẩm Phả"
"Xã Cộng Hòa","1","Thành phố Cẩm Phả"
"Bỏ -Dương Huy","1","Thành phố Cẩm Phả"
"Phường Bạch Đằng","1","Thành phố Hạ Long"
"Phường Hồng Gai ","1","Thành phố Hạ Long"
"Phường Bãi Cháy","1","Thành phố Hạ Long"
"Phường Hồng Hà","1","Thành phố Hạ Long"
"Phường Hà Khẩu ","1","Thành phố Hạ Long"
"Phường Giếng Đáy","1","Thành phố Hạ Long"
"Phường Hùng Thắng","1","Thành phố Hạ Long"
"Phường Tuần Châu","1","Thành phố Hạ Long"
"Bỏ - Yên Hà ","1","Thành phố Hạ Long"
"Phường Hà Khánh","1","Thành phố Hạ Long"
"Phường Hà Lầm","1","Thành phố Hạ Long"
"Phường Hà Trung","1","Thành phố Hạ Long"
"Phường Hà Phong","1","Thành phố Hạ Long"
"Phường Cao Thắng","1","Thành phố Hạ Long"
"Phường Yết Kiêu ","1","Thành phố Hạ Long"
"Phường Trần Hưng Đạo","1","Thành phố Hạ Long"
"Phường Kênh Dương","1","Quận Lê Chân"
"Phường Đông Hải 1","1","Quận Hải An"
"Phường Đằng Lâm","1","Quận Hải An"
"Phường Đông Hải 2","1","Quận Hải An"
"Phường Thành Tô","1","Quận Hải An"
"Phường Tràng Cát","1","Quận Hải An"
"Bắc Sơn","1","Quận Kiến An"
"Đồng Hòa","1","Quận Kiến An"
"Lãm Hà","1","Quận Kiến An"
"Nam Sơn","1","Quận Kiến An"
"Ngọc Sơn","1","Quận Kiến An"
"Phù Liễn","1","Quận Kiến An"
"Quán Trữ","1","Quận Kiến An"
"Trần Thành Ngọ","1","Quận Kiến An"
"Tràng Minh","1","Quận Kiến An"
"Văn Đẩu","1","Quận Kiến An"
"Lạc Viên","1","Quận Ngô Quyền"
"Niệm Nghĩa","1","Quận Lê Chân"
"Trại Cau","1","Quận Lê Chân"
"Phường Ái Quốc","1","Thành phố Hải Dương"
"Phường Bình Hàn","1","Thành phố Hải Dương"
"Phường Cẩm Thượng","1","Thành phố Hải Dương"
"Phường Lê Thanh Nghị","1","Thành phố Hải Dương"
"Phường Ngọc Châu","1","Thành phố Hải Dương"
"Phường Nguyễn Trãi","1","Thành phố Hải Dương"
"Phường Nhị Châu","1","Thành phố Hải Dương"
"Phường Phạm Ngũ Lão","1","Thành phố Hải Dương"
"Phường Quang Trung","1","Thành phố Hải Dương"
"Phường Tân Bình","1","Thành phố Hải Dương"
"Phường Thạch Khôi","1","Thành phố Hải Dương"
"Phường Thanh Bình","1","Thành phố Hải Dương"
"Phường Trần Hưng Đạo","1","Thành phố Hải Dương"
"Phường Trần Phú","1","Thành phố Hải Dương"
"Phường Hải Tân","1","Thành phố Hải Dương"
"Phường Tứ Minh","1","Thành phố Hải Dương"
"Phường Việt Hòa","1","Thành phố Hải Dương"
"Xã An Châu","1","Thành phố Hải Dương"
"Xã Nam Đồng","1","Thành phố Hải Dương"
"Xã Tân Hưng","1","Thành phố Hải Dương"
"Xã Thượng Đạt","1","Thành phố Hải Dương"
"Bạch Hạc","1","Thành phố Việt Trì"
"Bến Gót","1","Thành phố Việt Trì"
"Dữu Lâu","1","Thành phố Việt Trì"
"Gia Cẩm","1","Thành phố Việt Trì"
"Minh Nông","1","Thành phố Việt Trì"
"Minh Phương","1","Thành phố Việt Trì"
"Nông Trang","1","Thành phố Việt Trì"
"Tân Dân","1","Thành phố Việt Trì"
"Thanh Miếu","1","Thành phố Việt Trì"
"Thọ Sơn","1","Thành phố Việt Trì"
"Tiên Cát","1","Thành phố Việt Trì"
"Vân Cơ","1","Thành phố Việt Trì"
"Vân Phú","1","Thành phố Việt Trì"
"Chu Hóa","1","Thành phố Việt Trì"
"Hùng Lô","1","Thành phố Việt Trì"
"Hy Cương","1","Thành phố Việt Trì"
"Kim Đức","1","Thành phố Việt Trì"
"Phượng Lâu","1","Thành phố Việt Trì"
"Sông Lô","1","Thành phố Việt Trì"
"Tân Đức","1","Thành phố Việt Trì"
"Thanh Đình","1","Thành phố Việt Trì"
"Thụy Vân","1","Thành phố Việt Trì"
"Trưng Vương","1","Thành phố Việt Trì"
"Đại Phúc","1","Thành phố Bắc Ninh"
"Đáp Cầu ","1","Thành phố Bắc Ninh"
"Hạp Lĩnh","1","Thành phố Bắc Ninh"
"Hòa Long","1","Thành phố Bắc Ninh"
"Khắc Niệm","1","Thành phố Bắc Ninh"
"Khúc Xuyên ","1","Thành phố Bắc Ninh"
"Kim Chân ","1","Thành phố Bắc Ninh"
"Kinh Bắc","1","Thành phố Bắc Ninh"
"Nam Sơn ","1","Thành phố Bắc Ninh"
"Ninh Xá","1","Thành phố Bắc Ninh"
"Phong Khê","1","Thành phố Bắc Ninh"
"Suối Hoa","1","Thành phố Bắc Ninh"
"Thị Cầu","1","Thành phố Bắc Ninh"
"Tiền An ","1","Thành phố Bắc Ninh"
"Vạn An","1","Thành phố Bắc Ninh"
"Vân Dương","1","Thành phố Bắc Ninh"
"Vệ An ","1","Thành phố Bắc Ninh"
"Võ Cường","1","Thành phố Bắc Ninh"
"Vũ Ninh","1","Thành phố Bắc Ninh"
"Đa Mai","1","Thành phố Bắc Giang"
"Dĩnh Kế","1","Thành phố Bắc Giang"
"Hoàng Văn Thụ","1","Thành phố Bắc Giang"
"Lê Lợi","1","Thành phố Bắc Giang"
"Mỹ Độ","1","Thành phố Bắc Giang"
"Ngô Quyền","1","Thành phố Bắc Giang"
"Thọ Xương","1","Thành phố Bắc Giang"
"Trần Nguyên Hãn","1","Thành phố Bắc Giang"
"Trần Phú","1","Thành phố Bắc Giang"
"Xương Giang","1","Thành phố Bắc Giang"
"Bỏ- Xương Giang","1","Thành phố Bắc Giang"
"Dĩnh Trì","1","Thành phố Bắc Giang"
"Đồng Sơn","1","Thành phố Bắc Giang"
"Song Khê","1","Thành phố Bắc Giang"
"Song Mai","1","Thành phố Bắc Giang"
"Tân Mỹ","1","Thành phố Bắc Giang"
"Bỏ-Tân Mỹ","1","Thành phố Bắc Giang"
"Tân Tiến","1","Thành phố Bắc Giang"
"An Tảo","1","Thành phố Hưng Yên"
"Hiến Nam","1","Thành phố Hưng Yên"
"Hồng Châu","1","Thành phố Hưng Yên"
"Lam Sơn","1","Thành phố Hưng Yên"
"Lê Lợi","1","Thành phố Hưng Yên"
"Minh Khai","1","Thành phố Hưng Yên"
"Quang Trung","1","Thành phố Hưng Yên"
"Bảo Khê","1","Thành phố Hưng Yên"
"Hoàng Hanh","1","Thành phố Hưng Yên"
"Hồng Nam","1","Thành phố Hưng Yên"
"Hùng Cường","1","Thành phố Hưng Yên"
"Liên Phương","1","Thành phố Hưng Yên"
"Phú Cường","1","Thành phố Hưng Yên"
"Phương Chiểu","1","Thành phố Hưng Yên"
"Quảng Châu","1","Thành phố Hưng Yên"
"Tân Hưng","1","Thành phố Hưng Yên"
"Trung Nghĩa","1","Thành phố Hưng Yên"
"Phường Châu Sơn ","1","Thành phố Phủ Lý"
"Phường Hai Bà Trưng","1","Thành phố Phủ Lý"
"Phường Lam Hạ ","1","Thành phố Phủ Lý"
"Phường Lê Hồng Phong ","1","Thành phố Phủ Lý"
"Phường Liêm Chính ","1","Thành phố Phủ Lý"
"Phường Lương Khánh Thiện","1","Thành phố Phủ Lý"
"Phường Minh Khai ","1","Thành phố Phủ Lý"
"Phường Quang Trung","1","Thành phố Phủ Lý"
"Phường Thanh Châu ","1","Thành phố Phủ Lý"
"Phường Thanh Tuyền ","1","Thành phố Phủ Lý"
"Phường Trần Hưng Đạo ","1","Thành phố Phủ Lý"
"Xã Đinh Xá ","1","Thành phố Phủ Lý"
"Xã Kim Bình ","1","Thành phố Phủ Lý"
"Xã Liêm Chung","1","Thành phố Phủ Lý"
"Xã Liêm Tiết","1","Thành phố Phủ Lý"
"Xã Liêm Tuyền","1","Thành phố Phủ Lý"
"Xã Phù Vân","1","Thành phố Phủ Lý"
"Xã Tiên Hải","1","Thành phố Phủ Lý"
"Xã Tiên Tân","1","Thành phố Phủ Lý"
"Xã Trịnh Xá","1","Thành phố Phủ Lý"
"Xã Tiên Hiệp","1","Thành phố Phủ Lý"
"Bà Triệu","1","Thành phố Nam Định"
"Cửa Bắc","1","Thành phố Nam Định"
"Cửa Nam","1","Thành phố Nam Định"
"Hạ Long","1","Thành phố Nam Định"
"Lộc Hạ","1","Thành phố Nam Định"
"Lộc Vượng","1","Thành phố Nam Định"
"Năng Tĩnh","1","Thành phố Nam Định"
"Ngô Quyền","1","Thành phố Nam Định"
"Nguyễn Du","1","Thành phố Nam Định"
"Phan Đình Phùng","1","Thành phố Nam Định"
"Quang Trung","1","Thành phố Nam Định"
"Thống Nhất","1","Thành phố Nam Định"
"Trần Đăng Ninh","1","Thành phố Nam Định"
"Trần Hưng Đạo","1","Thành phố Nam Định"
"Trần Quang Khải","1","Thành phố Nam Định"
"Trần Tế Xương","1","Thành phố Nam Định"
"Trường Thi","1","Thành phố Nam Định"
"Văn Miếu","1","Thành phố Nam Định"
"Vi Hoàng","1","Thành phố Nam Định"
"Vi Xuyên","1","Thành phố Nam Định"
"Lộc An","1","Thành phố Nam Định"
"Lộc Hòa","1","Thành phố Nam Định"
"Mỹ Xá","1","Thành phố Nam Định"
"Nam Phong","1","Thành phố Nam Định"
"Nam Vân","1","Thành phố Nam Định"
"Bồ Xuyên","1","Thành phố Thái Bình"
"Đề Thám","1","Thành phố Thái Bình"
"Phường Hoàng Diệu","1","Thành phố Thái Bình"
"Kỳ Bá","1","Thành phố Thái Bình"
"Lê Hồng Phong","1","Thành phố Thái Bình"
"Phú Khánh","1","Thành phố Thái Bình"
"Quang Trung","1","Thành phố Thái Bình"
"Tiền Phong","1","Thành phố Thái Bình"
"Trần Hưng Đạo","1","Thành phố Thái Bình"
"Trần Lãm","1","Thành phố Thái Bình"
"Xã Đông Hòa","1","Thành phố Thái Bình"
"Xã Đông Mỹ","1","Thành phố Thái Bình"
"Xã Đông Thọ","1","Thành phố Thái Bình"
"Phú Xuân","1","Thành phố Thái Bình"
"Tân Bình","1","Thành phố Thái Bình"
"Vũ Chính","1","Thành phố Thái Bình"
"Vũ Đông","1","Thành phố Thái Bình"
"Vũ Lạc","1","Thành phố Thái Bình"
"Xã Vũ Phúc","1","Thành phố Thái Bình"
"Bích Đào","1","Thành phố Ninh Bình"
"Đông Thành","1","Thành phố Ninh Bình"
"Nam Bình","1","Thành phố Ninh Bình"
"Nam Thành","1","Thành phố Ninh Bình"
"Ninh Khánh","1","Thành phố Ninh Bình"
"Ninh Phong","1","Thành phố Ninh Bình"
"Ninh Sơn","1","Thành phố Ninh Bình"
"Phúc Thành","1","Thành phố Ninh Bình"
"Tân Thành","1","Thành phố Ninh Bình"
"Thanh Bình","1","Thành phố Ninh Bình"
"Vân Giang","1","Thành phố Ninh Bình"
"Ninh Nhất","1","Thành phố Ninh Bình"
"Ninh Phúc","1","Thành phố Ninh Bình"
"Ninh Tiến","1","Thành phố Ninh Bình"
"Phú Lợi","1","Thủ Dầu Một"
"Phú Hòa","1","Thủ Dầu Một"
"Chánh Nghĩa","1","Thủ Dầu Một"
"Hòa Phú","1","Thủ Dầu Một"
"Chánh Mỹ","1","Thủ Dầu Một"
"Định Hòa","1","Thủ Dầu Một"
"Hiệp An","1","Thủ Dầu Một"
"Hiệp Thành","1","Thủ Dầu Một"
"Phú Cường","1","Thủ Dầu Một"
"Phú Mỹ","1","Thủ Dầu Một"
"Phú Tân","1","Thủ Dầu Một"
"Phú Thọ","1","Thủ Dầu Một"
"Tân An","1","Thủ Dầu Một"
